"時点","地域コード","地域","総面積（北方地域及び竹島を除く）【ha】","注記","森林面積【ha】","注記","年平均気温【℃】","注記","最高気温（日最高気温の月平均の最高値）【℃】","注記","最低気温（日最低気温の月平均の最低値）【℃】","注記","快晴日数（年間）【日】","注記","曇天日数（年間）【日】","注記","降水日数（年間）【日】","注記"
"2008年","10000","群馬県","636316","","","","14.9","","31.5","","-1.5","","36","","","","112",""
"2008年","11000","埼玉県","379730","","","","15.4","","32.2","","-1.1","","53","","","","106",""
"2008年","12000","千葉県","515670","","","","16.1","","31.0","","1.5","","48","","","","119",""
"2008年","13000","東京都","218750","","","","16.4","","30.9","","1.9","","37","","","","115",""
"2008年","14000","神奈川県","241584","","","","16.1","","30.6","","1.7","","32","","","","110",""
"2008年","15000","新潟県","1258348","","","","14.2","","29.3","","-0.6","","13","","","","157",""
"2008年","16000","富山県","424755","","","","14.6","","31.6","","-1.0","","19","","","","163",""
"2008年","17000","石川県","418554","","","","14.9","","30.9","","-0.4","","23","","","","165",""
"2008年","18000","福井県","418954","","","","14.7","","32.0","","-0.7","","18","","","","158",""
"2008年","19000","山梨県","446537","","","","14.8","","32.5","","-2.4","","42","","","","95",""
"2008年","20000","長野県","1356223","","","","12.2","","31.0","","-5.3","","17","","","","109",""
"2008年","21000","岐阜県","1062117","","","","16.2","","33.2","","-0.5","","39","","","","106",""
"2008年","22000","静岡県","778033","","","","16.7","","31.1","","0.8","","41","","","","103",""
"2008年","23000","愛知県","516457","","","","16.4","","33.6","","0.1","","22","","","","93",""
"2008年","24000","三重県","577719","","","","16.3","","31.8","","0.9","","26","","","","101",""
"2008年","25000","滋賀県","401736","","","","15.0","","32.0","","-0.3","","29","","","","133",""
"2008年","26000","京都府","461301","","","","16.0","","34.0","","0.2","","19","","","","115",""
"2008年","27000","大阪府","189785","","","","17.0","","33.3","","1.9","","19","","","","108",""
"2008年","28000","兵庫県","839584","","","","17.0","","31.7","","1.8","","21","","","","102",""
"2008年","29000","奈良県","369109","","","","14.9","","32.8","","-1.2","","21","","","","111",""
"2008年","30000","和歌山県","472629","","","","16.7","","32.2","","1.7","","25","","","","106",""
"2008年","31000","鳥取県","350726","","","","15.0","","32.8","","0.0","","20","","","","164",""
"2008年","32000","島根県","670765","","","","15.1","","32.1","","-0.1","","11","","","","151",""
"2008年","33000","岡山県","711321","","","","16.6","","34.1","","0.4","","30","","","","92",""
"2008年","34000","広島県","847905","","","","16.4","","32.8","","0.3","","24","","","","91",""
"2008年","35000","山口県","611381","","","","15.8","","33.1","","-0.3","","25","","","","116",""
"2008年","36000","徳島県","414655","","","","16.8","","32.0","","2.1","","22","","","","105",""
"2008年","37000","香川県","187651","","","","16.8","","33.8","","1.1","","21","","","","101",""
"2008年","38000","愛媛県","567773","","","","16.7","","33.1","","1.2","","22","","","","104",""
"2008年","39000","高知県","710513","","","","17.3","","32.4","","1.4","","35","","","","116",""
"2008年","40000","福岡県","497697","","","","17.1","","33.3","","3.0","","21","","","","113",""
"2008年","41000","佐賀県","243960","","","","16.8","","33.7","","0.9","","40","","","","96",""
"2008年","42000","長崎県","410448","","","","17.3","","32.0","","2.7","","22","","","","103",""
"2008年","43000","熊本県","740580","","","","17.2","","34.0","","0.2","","27","","","","107",""
"2008年","44000","大分県","633954","","","","16.8","","33.3","","1.9","","27","","","","100",""
"2008年","45000","宮崎県","773480","","","","17.4","","32.1","","1.1","","58","","","","127",""
"2008年","46000","鹿児島県","918867","","","","18.7","","33.4","","3.4","","28","","","","112",""
"2008年","47000","沖縄県","227591","","","","23.4","","32.3","","13.9","","9","","","","114",""
"2009年","01000","北海道","7842061","","","","9.4","","25.3","","-5.6","","8","","","","149",""
"2009年","02000","青森県","964421","","","","10.6","","26.0","","-3.5","","7","","","","162",""
"2009年","03000","岩手県","1527889","","","","10.6","","27.1","","-4.5","","8","","","","130",""
"2009年","04000","宮城県","728575","","","","12.9","","26.5","","-0.7","","9","","","","97",""
"2009年","05000","秋田県","1163625","","","","12.0","","27.8","","-1.5","","9","","","","172",""
"2009年","06000","山形県","932346","","","","12.1","","28.5","","-2.9","","8","","","","135",""
"2009年","07000","福島県","1378275","","","","13.5","","29.0","","-0.9","","14","","","","92",""
"2009年","08000","茨城県","609569","","","","14.2","","28.6","","-0.7","","40","","","","107",""
"2009年","09000","栃木県","640828","","","","14.6","","29.6","","-1.0","","29","","","","98",""
"2009年","10000","群馬県","636316","","","","15.1","","30.4","","0.2","","34","","","","101",""
"2009年","11000","埼玉県","379730","","","","15.5","","30.8","","0.8","","51","","","","96",""
"2009年","12000","千葉県","515670","","","","16.3","","29.7","","3.4","","48","","","","110",""
"2009年","13000","東京都","218750","","","","16.7","","30.1","","3.5","","31","","","","105",""
"2009年","14000","神奈川県","241585","","","","16.3","","29.9","","3.6","","26","","","","108",""
"2009年","15000","新潟県","1258373","","","","14.1","","28.2","","0.7","","9","","","","170",""
"2009年","16000","富山県","424759","","","","14.6","","28.8","","0.6","","18","","","","170",""
"2009年","17000","石川県","418558","","","","14.8","","29.4","","1.1","","13","","","","163",""
"2009年","18000","福井県","418959","","","","14.7","","30.1","","0.3","","21","","","","161",""
"2009年","19000","山梨県","446537","","","","15.1","","31.9","","-1.5","","33","","","","91",""
"2009年","20000","長野県","1356223","","","","12.4","","29.8","","-3.2","","18","","","","111",""
"2009年","21000","岐阜県","1062117","","","","16.3","","32.0","","0.8","","37","","","","107",""
"2009年","22000","静岡県","778038","","","","17.0","","30.8","","2.5","","42","","","","110",""
"2009年","23000","愛知県","516458","","","","16.5","","31.9","","1.3","","23","","","","103",""
"2009年","24000","三重県","577722","","","","16.3","","30.1","","2.4","","37","","","","101",""
"2009年","25000","滋賀県","401736","","","","15.0","","30.3","","1.1","","26","","","","121",""
"2009年","26000","京都府","461313","","","","16.1","","32.1","","1.7","","18","","","","109",""
"2009年","27000","大阪府","189801","","","","17.1","","32.5","","3.3","","18","","","","105",""
"2009年","28000","兵庫県","839589","","","","17.1","","31.4","","3.7","","17","","","","99",""
"2009年","29000","奈良県","369109","","","","15.1","","31.6","","0.1","","25","","","","108",""
"2009年","30000","和歌山県","472629","","","","16.9","","31.6","","2.9","","25","","","","99",""
"2009年","31000","鳥取県","350726","","","","15.0","","30.1","","0.4","","15","","","","134",""
"2009年","32000","島根県","670765","","","","15.0","","29.1","","0.8","","17","","","","140",""
"2009年","33000","岡山県","711321","","","","16.6","","31.9","","1.4","","29","","","","83",""
"2009年","34000","広島県","847927","","","","16.4","","31.9","","1.8","","25","","","","85",""
"2009年","35000","山口県","611389","","","","15.8","","32.0","","0.5","","34","","","","109",""
"2009年","36000","徳島県","414667","","","","16.9","","31.3","","3.0","","23","","","","99",""
"2009年","37000","香川県","187653","","","","16.9","","31.7","","2.6","","25","","","","81",""
"2009年","38000","愛媛県","567800","","","","16.9","","32.0","","2.9","","26","","","","97",""
"2009年","39000","高知県","710516","","","","17.5","","32.1","","2.5","","34","","","","117",""
"2009年","40000","福岡県","497720","","","","17.3","","31.6","","3.5","","27","","","","101",""
"2009年","41000","佐賀県","243965","","","","16.9","","33.1","","1.6","","39","","","","92",""
"2009年","42000","長崎県","410505","","","","17.4","","32.1","","3.5","","41","","","","105",""
"2009年","43000","熊本県","740584","","","","17.5","","33.8","","2.0","","31","","","","99",""
"2009年","44000","大分県","633958","","","","17.0","","31.6","","3.0","","26","","","","87",""
"2009年","45000","宮崎県","773483","","","","17.8","","31.4","","3.2","","49","","","","106",""
"2009年","46000","鹿児島県","918875","","","","19.0","","33.3","","5.0","","32","","","","110",""
"2009年","47000","沖縄県","227601","","","","23.4","","32.7","","14.2","","15","","","","118",""
"2010年","01000","北海道","7842073","","5336167","","9.8","","29.1","","-6.3","","4","","","","149",""
"2010年","02000","青森県","964454","","615064","","11.1","","30.6","","-4.2","","8","","","","167",""
"2010年","03000","岩手県","1527889","","1147152","","11.0","","31.4","","-5.2","","9","","","","145",""
"2010年","04000","宮城県","728576","","408510","","13.2","","31.4","","-1.4","","7","","","","105",""
"2010年","05000","秋田県","1163625","","820640","","12.3","","31.2","","-2.7","","9","","","","190",""
"2010年","06000","山形県","932346","","643395","","12.5","","33.6","","-3.2","","10","","","","145",""
"2010年","07000","福島県","1378276","","936128","","13.8","","34.1","","-1.2","","9","","","","117",""
"2010年","08000","茨城県","609572","","188278","","14.5","","32.6","","-2.3","","30","","","","103",""
"2010年","09000","栃木県","640828","","340775","","14.8","","33.2","","-2.0","","21","","","","123",""
"2010年","10000","群馬県","636233","","403752","","15.5","","34.1","","-0.3","","25","","","","119",""
"2010年","11000","埼玉県","379813","","122132","","15.8","","34.8","","-0.5","","49","","","","111",""
"2010年","12000","千葉県","515670","","160369","","16.6","","32.8","","2.7","","-","データが得られないことを示している。","","","107",""
"2010年","13000","東京都","218750","","78729","","16.9","","33.5","","3.0","","34","","","","111",""
"2010年","14000","神奈川県","241586","","94103","","16.5","","32.7","","3.2","","26","","","","107",""
"2010年","15000","新潟県","1258381","","790928","","14.4","","33.0","","0.3","","16","","","","191",""
"2010年","16000","富山県","424761","","239505","","14.9","","34.3","","0.6","","15","","","","192",""
"2010年","17000","石川県","418566","","277573","","15.1","","33.2","","1.4","","17","","","","197",""
"2010年","18000","福井県","418983","","309978","","15.0","","34.6","","0.5","","23","","","","185",""
"2010年","19000","山梨県","446537","","347401","","15.2","","34.2","","-2.6","","29","","","","112",""
"2010年","20000","長野県","1356223","","1014580","","12.6","","33.1","","-3.8","","12","","","","130",""
"2010年","21000","岐阜県","1062117","","839690","","16.4","","34.1","","0.2","","35","","","","122",""
"2010年","22000","静岡県","778042","","486723","","17.2","","32.1","","1.7","","42","","","","118",""
"2010年","23000","愛知県","516504","","218902","","16.6","","34.1","","1.0","","24","","","","102",""
"2010年","24000","三重県","577727","","373045","","16.6","","32.7","","2.3","","35","","","","97",""
"2010年","25000","滋賀県","401736","","203760","","15.3","","33.9","","1.0","","23","","","","132",""
"2010年","26000","京都府","461321","","342043","","16.4","","35.2","","0.9","","14","","","","106",""
"2010年","27000","大阪府","189847","","57910","","17.3","","35.2","","2.6","","16","","","","100",""
"2010年","28000","兵庫県","839613","","561052","","17.2","","33.5","","2.7","","20","","","","92",""
"2010年","29000","奈良県","369109","","283900","","15.4","","34.7","","-0.2","","16","","","","106",""
"2010年","30000","和歌山県","472629","","363014","","17.1","","33.5","","2.7","","18","","","","93",""
"2010年","31000","鳥取県","350728","","256491","","15.6","","35.5","","0.6","","23","","","","160",""
"2010年","32000","島根県","670774","","519717","","15.5","","34.4","","1.4","","9","","","","155",""
"2010年","33000","岡山県","711321","","483659","","16.7","","34.9","","0.9","","38","","","","92",""
"2010年","34000","広島県","847958","","610631","","16.6","","35.1","","1.3","","22","","","","91",""
"2010年","35000","山口県","611395","","436737","","16.0","","33.9","","0.0","","-","データが得られないことを示している。","","","118",""
"2010年","36000","徳島県","414667","","310615","","17.0","","33.8","","2.6","","24","","","","99",""
"2010年","37000","香川県","187653","","87226","","17.0","","34.7","","2.1","","17","","","","87",""
"2010年","38000","愛媛県","567818","","399772","","16.9","","34.7","","2.2","","21","","","","104",""
"2010年","39000","高知県","710516","","592206","","17.6","","33.2","","1.3","","29","","","","108",""
"2010年","40000","福岡県","497724","","219809","","17.5","","35.2","","3.3","","21","","","","119",""
"2010年","41000","佐賀県","243965","","110554","","17.0","","34.7","","1.3","","30","","","","120",""
